批次ID,起始章,结束章,批次规模,处理建议,状态
poetry-0001-0050,1,50,50,进入正文定稿前人工精修题诗，尤其检查唐诗宋词元曲体式是否有真诗味，而不是只像格式。,planned
poetry-0051-0100,51,100,50,进入正文定稿前人工精修题诗，尤其检查唐诗宋词元曲体式是否有真诗味，而不是只像格式。,planned
poetry-0101-0150,101,150,50,进入正文定稿前人工精修题诗，尤其检查唐诗宋词元曲体式是否有真诗味，而不是只像格式。,planned
poetry-0151-0200,151,200,50,进入正文定稿前人工精修题诗，尤其检查唐诗宋词元曲体式是否有真诗味，而不是只像格式。,planned
poetry-0201-0250,201,250,50,进入正文定稿前人工精修题诗，尤其检查唐诗宋词元曲体式是否有真诗味，而不是只像格式。,planned
poetry-0251-0300,251,300,50,进入正文定稿前人工精修题诗，尤其检查唐诗宋词元曲体式是否有真诗味，而不是只像格式。,planned
poetry-0301-0350,301,350,50,进入正文定稿前人工精修题诗，尤其检查唐诗宋词元曲体式是否有真诗味，而不是只像格式。,planned
poetry-0351-0400,351,400,50,进入正文定稿前人工精修题诗，尤其检查唐诗宋词元曲体式是否有真诗味，而不是只像格式。,planned
poetry-0401-0450,401,450,50,进入正文定稿前人工精修题诗，尤其检查唐诗宋词元曲体式是否有真诗味，而不是只像格式。,planned
poetry-0451-0500,451,500,50,进入正文定稿前人工精修题诗，尤其检查唐诗宋词元曲体式是否有真诗味，而不是只像格式。,planned
poetry-0501-0550,501,550,50,进入正文定稿前人工精修题诗，尤其检查唐诗宋词元曲体式是否有真诗味，而不是只像格式。,planned
poetry-0551-0600,551,600,50,进入正文定稿前人工精修题诗，尤其检查唐诗宋词元曲体式是否有真诗味，而不是只像格式。,planned
poetry-0601-0650,601,650,50,进入正文定稿前人工精修题诗，尤其检查唐诗宋词元曲体式是否有真诗味，而不是只像格式。,planned
poetry-0651-0700,651,700,50,进入正文定稿前人工精修题诗，尤其检查唐诗宋词元曲体式是否有真诗味，而不是只像格式。,planned
