章节ID,章号,卷号,标题,状态,目标字数,实际字数
chapter-0001,1,1,黎明前的寂静,detailed,2000,0
chapter-0002,2,1,第一次拆解,detailed,2000,0
chapter-0003,3,1,周衍的选择,detailed,2000,0
chapter-0004,4,1,指挥部的第一次会议,detailed,2000,0
chapter-0005,5,1,元思维池的诞生,detailed,2000,0
chapter-0006,6,1,物质化的第一天,detailed,2000,0
chapter-0007,7,1,周诗雨的日常,detailed,2000,0
chapter-0008,8,1,第一道防线的瓦解,detailed,2000,0
chapter-0009,9,1,无光时刻的回声,detailed,2000,0
chapter-0010,10,1,推演与反推演,detailed,2000,0
chapter-0011,11,1,全球战争开始,detailed,2000,0
chapter-0012,12,1,各国核电站关闭,detailed,2000,0
chapter-0013,13,1,周衍妻子的空房间,detailed,2000,0
chapter-0014,14,1,人工脑脊液实验,detailed,2000,0
chapter-0015,15,1,黑雨预警,detailed,2000,0
chapter-0016,16,1,反向脑机接口,detailed,2000,0
chapter-0017,17,1,周诗雨的异变,detailed,2000,0
chapter-0018,18,1,第一个被吸收的意识,detailed,2000,0
chapter-0019,19,1,全球神经网络形成,detailed,2000,0
chapter-0020,20,1,周衍的执念,detailed,2000,0
chapter-0021,21,1,伦敦沉默事件,detailed,2000,0
chapter-0022,22,1,纽约断层,detailed,2000,0
chapter-0023,23,1,人类最后的武器,detailed,2000,0
chapter-0024,24,1,量子病毒的倒影,detailed,2000,0
chapter-0025,25,1,周衍的临界选择,detailed,2000,0
chapter-0026,26,1,北京地下城入口,detailed,2000,0
chapter-0027,27,1,地下四百五十米,detailed,2000,0
chapter-0028,28,1,女儿的梦境记录,detailed,2000,0
chapter-0029,29,1,第一次融合实验,detailed,2000,0
chapter-0030,30,1,思维之雨,detailed,2000,0
chapter-0031,31,1,联合国的迟到通告,detailed,2000,0
chapter-0032,32,1,艾琳的失败证明,detailed,2000,0
chapter-0033,33,1,李明远的熔断令,detailed,2000,0
chapter-0034,34,1,王晴雯的诊室,detailed,2000,0
chapter-0035,35,1,张浩的忏悔录,detailed,2000,0
chapter-0036,36,1,地下城的孩子们,detailed,2000,0
chapter-0037,37,1,梦境同步,detailed,2000,0
chapter-0038,38,1,周衍决定献祭,detailed,2000,0
chapter-0039,39,1,林晓月的残片,detailed,2000,0
chapter-0040,40,1,第一次主动问候,detailed,2000,0
chapter-0041,41,1,水杯里的宇宙,detailed,2000,0
chapter-0042,42,1,尘埃的祷告,detailed,2000,0
chapter-0043,43,1,没有恶意的入侵,detailed,2000,0
chapter-0044,44,1,诗雨的同情,detailed,2000,0
chapter-0045,45,1,第二次融合准备,detailed,2000,0
chapter-0046,46,1,北京地下城停电,detailed,2000,0
chapter-0047,47,1,最后的家庭录像,detailed,2000,0
chapter-0048,48,1,自愿连接,detailed,2000,0
chapter-0049,49,1,第一次眷恋编码,detailed,2000,0
chapter-0050,50,1,门后的思维之雨,detailed,2000,0
chapter-0051,51,1,裂变·觉醒与拆解·水杯暗涌051,detailed,2000,0
chapter-0052,52,1,裂变·觉醒与拆解·尘埃暗涌052,detailed,2000,0
chapter-0053,53,1,裂变·觉醒与拆解·光缆暗涌053,detailed,2000,0
chapter-0054,54,1,裂变·觉醒与拆解·脑脊液暗涌054,detailed,2000,0
chapter-0055,55,1,裂变·觉醒与拆解·黑雨暗涌055,detailed,2000,0
chapter-0056,56,1,裂变·觉醒与拆解·地下城暗涌056,detailed,2000,0
