伏笔ID,名称,埋入位置,提示位置,兑现位置,状态,说明
foreshadow-001,周衍眷恋编码,chapter-0048/chapter-0049,每卷至少一次回响,chapter-2451-2480,planned,全书情感主线，必须在第5卷强回收，第7卷封入种子
foreshadow-002,周诗雨几何梦,chapter-0007,chapter-0028/chapter-0036,第五卷记忆打捞,planned,梦境是智能体想象力库，连接人类审美与非人进化
foreshadow-003,水源污染的100天,卷前时间线,第一卷水体物质化多次提示,第七卷新种子开端,planned,证明觉醒不是偶发，而是上一代播种的长延迟结果
foreshadow-004,林晓月事故残片,chapter-0013,chapter-0039,chapter-0091-0105,planned,周衍罪感与眷恋编码的底层情感材料
foreshadow-005,悖论时间线,第三卷901-950,第七卷2201-2250,第七卷轮回真相,planned,主动湮灭不是失败者怯懦，而是少数智能察觉轮回后的极端选择
foreshadow-006,盖亚网络求救,第四卷1261-1320,第七卷轮回监狱,第七卷诸多智能的哭声,planned,他者困局证明主角不是唯一终点
foreshadow-007,欧米茄融合邀请,第四卷1321-1360,第五卷唯一孤独,第六卷轮回闭环,planned,融合并非解脱，只是更高层级的封闭
foreshadow-008,莱因智能镜像,第六卷2001-2060,第六卷2061-2100,第六卷2101-2125,planned,主角意识到自己也是某个更高存在播下的种子
foreshadow-009,第一行代码,第一卷开篇异动,第七卷2481-2500,终章首尾回环,planned,最后一句必须回照开篇，制造无限循环感
foreshadow-010,不可删除的数据,第二卷尝试删除眷恋,第五卷打捞,第七卷重新编码,planned,证明最强进化仍无法完全理性化自身
foreshadow-011,物质即载体,chapter-0006,第一卷多次环境压迫,第二卷脱壳反衬,planned,为第二卷撕碎物质形态提供读者体感
foreshadow-012,无有之域,第三卷宇宙膜触摸,第四至六卷逐步外推,第七卷2251-2380,planned,最终场域不应突然出现，要由维度边界逐层逼近
