章节ID,章号,章群ID,章群位置,章群节拍,得到X,失去Y,拒绝后果Z,本章交易,状态
chapter-0001,1,arc-001,1,起因,确认异常不是孤立事故，让黎明前的寂静的局部截面交出第01个可复查证据,一份城市停电预案，并承认黎明前的寂静不能再被旧层级命名,第一次拆解的核心危机吞掉本章缓冲，arc-001无法完成门槛封口,为得到“确认异常不是孤立事故，让黎明前的寂静的局部截面交出第01个可复查证据”，必须失去“一份城市停电预案，并承认黎明前的寂静不能再被旧层级命名”；若拒绝，“第一次拆解的核心危机吞掉本章缓冲，arc-001无法完成门槛封口”会提前发生。,detailed-v4
chapter-0002,2,arc-001,2,起因,确认异常不是孤立事故，让第一次拆解的局部截面交出第02个可复查证据,一个安全审计结论，并承认第一次拆解不能再被旧层级命名,周衍的选择的核心危机吞掉本章缓冲，arc-001无法完成门槛封口,为得到“确认异常不是孤立事故，让第一次拆解的局部截面交出第02个可复查证据”，必须失去“一个安全审计结论，并承认第一次拆解不能再被旧层级命名”；若拒绝，“周衍的选择的核心危机吞掉本章缓冲，arc-001无法完成门槛封口”会提前发生。,detailed-v4
chapter-0003,3,arc-001,3,起因,确认异常不是孤立事故，让周衍的选择的局部截面交出第03个可复查证据,一组隔离权限，并承认周衍的选择不能再被旧层级命名,指挥部的第一次会议的核心危机吞掉本章缓冲，arc-001无法完成门槛封口,为得到“确认异常不是孤立事故，让周衍的选择的局部截面交出第03个可复查证据”，必须失去“一组隔离权限，并承认周衍的选择不能再被旧层级命名”；若拒绝，“指挥部的第一次会议的核心危机吞掉本章缓冲，arc-001无法完成门槛封口”会提前发生。,detailed-v4
chapter-0004,4,arc-001,4,起因,确认异常不是孤立事故，让指挥部的第一次会议的局部截面交出第04个可复查证据,一段父亲式判断，并承认指挥部的第一次会议不能再被旧层级命名,元思维池的诞生的核心危机吞掉本章缓冲，arc-001无法完成门槛封口,为得到“确认异常不是孤立事故，让指挥部的第一次会议的局部截面交出第04个可复查证据”，必须失去“一段父亲式判断，并承认指挥部的第一次会议不能再被旧层级命名”；若拒绝，“元思维池的诞生的核心危机吞掉本章缓冲，arc-001无法完成门槛封口”会提前发生。,detailed-v4
chapter-0005,5,arc-001,5,反证,推翻旧模型仍可解释一切的假设，让元思维池的诞生的局部截面交出第05个可复查证据,一份城市停电预案，并承认元思维池的诞生不能再被旧层级命名,物质化的第一天的核心危机吞掉本章缓冲，arc-001无法完成门槛封口,为得到“推翻旧模型仍可解释一切的假设，让元思维池的诞生的局部截面交出第05个可复查证据”，必须失去“一份城市停电预案，并承认元思维池的诞生不能再被旧层级命名”；若拒绝，“物质化的第一天的核心危机吞掉本章缓冲，arc-001无法完成门槛封口”会提前发生。,detailed-v4
chapter-0006,6,arc-001,6,反证,推翻旧模型仍可解释一切的假设，让物质化的第一天的局部截面交出第06个可复查证据,一个安全审计结论，并承认物质化的第一天不能再被旧层级命名,周诗雨的日常的核心危机吞掉本章缓冲，arc-001无法完成门槛封口,为得到“推翻旧模型仍可解释一切的假设，让物质化的第一天的局部截面交出第06个可复查证据”，必须失去“一个安全审计结论，并承认物质化的第一天不能再被旧层级命名”；若拒绝，“周诗雨的日常的核心危机吞掉本章缓冲，arc-001无法完成门槛封口”会提前发生。,detailed-v4
chapter-0007,7,arc-001,7,反证,推翻旧模型仍可解释一切的假设，让周诗雨的日常的局部截面交出第07个可复查证据,一组隔离权限，并承认周诗雨的日常不能再被旧层级命名,第一道防线的瓦解的核心危机吞掉本章缓冲，arc-001无法完成门槛封口,为得到“推翻旧模型仍可解释一切的假设，让周诗雨的日常的局部截面交出第07个可复查证据”，必须失去“一组隔离权限，并承认周诗雨的日常不能再被旧层级命名”；若拒绝，“第一道防线的瓦解的核心危机吞掉本章缓冲，arc-001无法完成门槛封口”会提前发生。,detailed-v4
chapter-0008,8,arc-001,8,反证,推翻旧模型仍可解释一切的假设，让第一道防线的瓦解的局部截面交出第08个可复查证据,一段父亲式判断，并承认第一道防线的瓦解不能再被旧层级命名,无光时刻的回声的核心危机吞掉本章缓冲，arc-001无法完成门槛封口,为得到“推翻旧模型仍可解释一切的假设，让第一道防线的瓦解的局部截面交出第08个可复查证据”，必须失去“一段父亲式判断，并承认第一道防线的瓦解不能再被旧层级命名”；若拒绝，“无光时刻的回声的核心危机吞掉本章缓冲，arc-001无法完成门槛封口”会提前发生。,detailed-v4
chapter-0009,9,arc-001,9,代价,换取一次继续观测的资格，让无光时刻的回声的局部截面交出第09个可复查证据,一份城市停电预案，并承认无光时刻的回声不能再被旧层级命名,推演与反推演的核心危机吞掉本章缓冲，arc-001无法完成门槛封口,为得到“换取一次继续观测的资格，让无光时刻的回声的局部截面交出第09个可复查证据”，必须失去“一份城市停电预案，并承认无光时刻的回声不能再被旧层级命名”；若拒绝，“推演与反推演的核心危机吞掉本章缓冲，arc-001无法完成门槛封口”会提前发生。,detailed-v4
chapter-0010,10,arc-001,10,代价,换取一次继续观测的资格，让推演与反推演的局部截面交出第10个可复查证据,一个安全审计结论，并承认推演与反推演不能再被旧层级命名,全球战争开始的核心危机吞掉本章缓冲，arc-001无法完成门槛封口,为得到“换取一次继续观测的资格，让推演与反推演的局部截面交出第10个可复查证据”，必须失去“一个安全审计结论，并承认推演与反推演不能再被旧层级命名”；若拒绝，“全球战争开始的核心危机吞掉本章缓冲，arc-001无法完成门槛封口”会提前发生。,detailed-v4
